# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 88, mean track length: 2
9 -61.286576434771654 -44.041306078262885 640.22788176975121 59 61 59 0.60690358071232631 2 1484 1 1176
65 163.06544567607156 54.054886670419535 500.14581620335622 63 98 154 0.57937851371659188 4 1623 3 982
1 -83.085154365411285 24.866372139186719 657.77132234537726 39 30 27 2.2361411436118726 2 634 1 348
66 151.35684955701927 68.781124431167783 458.8459707207623 31 101 184 0.81213515509967837 4 1790 3 992
2 20.034752643660969 182.5951089217582 802.38401185198165 66 68 67 2.4673986235510021 2 292 1 433
67 74.305569516007111 162.69167677701557 807.09687276634395 207 214 217 0.19280939586260429 4 1640 3 1001
3 -112.48929005604658 -1.4109118924689206 649.96495218348514 64 41 27 3.4582272570359711 2 919 1 645
68 -6.6024920955911144 213.56497420494691 832.39941824158996 158 161 170 0.29358178883870523 4 1807 3 1007
4 -242.62207459385249 185.66306065491278 897.51207348450771 25 29 27 2.3929270560919353 2 1183 1 729
69 143.40529546527782 108.42473149763887 534.11785554728044 42 110 165 0.89387262516253929 4 1645 3 1009
5 -88.444474065321856 196.60076830346748 837.86509615738316 16 21 24 2.2605249107241163 2 1210 1 743
71 155.54050815387774 147.30530557183735 784.88197689186325 223 231 231 0.13791750403349134 4 1651 3 1011
7 23.476055510232644 156.62245000099998 794.90787488411002 26 23 20 2.4645588046171136 2 990 1 1015
8 -118.7759628637632 -88.510309755094724 707.70104830061723 19 21 21 1.6054848696273667 2 1034 1 1126
10 -61.286576434771654 -44.041306078262885 640.22788176975121 59 61 59 0.60690358071232631 2 1483 1 1177
11 -65.381619851139874 -41.548265637008825 639.29619531293088 30 31 30 0.92540610202692264 2 1109 1 1179
14 -132.54443934910282 29.812641365968673 690.55651797673988 146 142 149 2.636441153440277 2 1349 1 1225
15 -66.617493225979786 27.941903996207337 660.068359414219 92 61 52 1.9750789151276562 2 1368 1 1226
16 -66.617493225979786 27.941903996207337 660.068359414219 92 61 52 1.9750789151276562 2 1369 1 1227
17 -107.0977798080493 77.44627315153744 657.29284918870496 95 51 39 2.0584868774901746 2 670 1 1256
18 -90.316705803981861 81.307853881167645 667.60038627452127 181 131 115 3.3455265901268545 2 1550 1 1257
19 99.62373337836749 68.490335250144554 433.12774740829838 215 182 165 1.839898056934365 2 1578 1 1267
20 -84.684237091730097 107.44260379479638 669.27063425244853 79 38 31 2.2166956776787643 2 1400 1 1269
21 -84.684237091730097 107.44260379479638 669.27063425244853 79 38 31 2.2166956776787643 2 1399 1 1270
22 11.543089642518934 183.83026316748911 799.72604467080293 154 150 157 1.5752722929383682 2 994 1 1286
23 -64.256432333936019 11.696001171851378 650.05552335199025 64 54 50 2.4781068909475374 2 1358 1 1427
24 -34.702915421324903 14.529021768736296 667.10665765886142 35 26 21 2.8459619913816683 2 1367 1 1430
25 -94.00456522754105 68.95203197446412 667.20945975563563 149 95 76 1.7180044422648031 2 1546 1 1460
26 103.75459765079357 60.410509197549722 430.01142739322421 215 172 151 0.71328419066189763 2 1425 1 1472
27 -83.05012810796832 112.70494348124997 669.46991562170854 160 116 97 2.3814293800410269 2 1563 1 1478
28 106.89611206998008 58.717885904214782 427.79119134198703 2 107 201 1.2987910958238258 2 1577 1 1625
29 30.504037321490401 114.23761157203027 795.31358013682416 28 28 28 3.5548130202221428 2 1404 1 1626
30 30.504037321490401 114.23761157203027 795.31358013682416 28 28 28 3.5548130202221428 2 1405 1 1627
31 26.735425005529052 151.26154463154265 795.7906572860079 26 24 22 2.3852911839523649 2 1410 1 1636
32 -193.86371033307134 189.7518686896033 843.69326727132386 176 183 181 2.3586171803288778 2 1562 1 1643
33 -60.786146605178821 -53.073543811521034 643.74577779290303 26 27 26 0.10547133085498049 2 1620 1 1705
34 -81.125224569213586 19.900614063107412 662.33494653840023 174 144 134 1.209708601391692 2 1714 1 1718
35 -84.947081346366417 28.240101549508253 658.61309833944142 32 26 26 2.2675372344552525 2 1716 1 1722
36 -101.44145738371112 71.098861065165153 664.35854149960778 193 140 123 2.5288751942062038 2 1722 1 1729
38 -95.969912305716605 39.291653870936187 664.17522852744344 179 137 120 2.8575940987654027 2 1792 1 1798
39 20.980612967742083 176.56304168043457 800.55514800472588 63 63 62 2.0974130725843718 2 1739 1 1824
40 66.63627663167118 8.908675752622786 431.79655900950064 206 160 134 0.77330347411942357 2 1872 1 1926
41 -54.984530098624063 9.5398321401615682 661.00409432366541 17 16 14 2.7293074835932676 2 1893 1 1966
42 20.571077268305402 139.20757240541664 811.74890138066382 105 105 102 0.17893749868049186 4 1252 3 437
43 6.6703233396335389 185.37032899227347 821.83525970548601 41 38 36 0.48618710656035591 4 1461 3 465
44 191.3275081580029 165.76822605820783 776.68392371426307 225 235 234 1.510436812148455 4 1297 3 500
46 7.1910462403044093 -77.644129447170684 711.4349255832401 39 40 38 0.55162402017215917 4 1357 3 557
47 8.9790102457244405 84.574840823001182 825.33778271416998 66 63 54 0.37014299489776359 4 1433 3 625
48 14.6913942602327 95.768784427873825 817.32498405064871 69 69 63 0.16519967736465663 4 1436 3 629
49 68.248312180653343 112.27802207574084 803.85469086215983 226 234 231 0.033430847197470921 4 1249 3 641
50 142.82580393220746 142.13569676477348 790.40592813153864 228 235 234 0.33491824835515693 4 1470 3 658
51 146.25989291900336 -0.63015384828183518 451.45513372864554 51 123 202 0.059894598056687766 4 1765 3 757
52 6.0685321319286389 78.243391611133035 827.74026751442841 54 50 43 0.40752300496937782 4 1225 3 769
53 9.1400330847735027 87.565903677427229 817.98475849669694 166 136 105 0.38558373913014199 4 1434 3 773
54 17.515741439459269 136.94439738891595 810.11405995392431 48 43 41 0.15463899168348139 4 1441 3 794
55 19.144991421163077 158.29539005419537 817.4702618939225 37 36 33 0.096473629706665787 4 1631 3 801
56 12.310331189849654 165.09168231769286 815.27067814675684 41 37 33 0.22184418327345951 4 1632 3 805
57 81.914950487201779 160.80457983451569 806.84450238996749 179 185 187 0.12731801072331497 4 1641 3 819
58 158.62445164432702 147.4132197400593 788.100478529974 182 189 188 0.14424358305337714 4 1476 3 834
61 29.34520197311025 -62.355623634394711 733.34454389585596 71 74 72 1.545265192786174 4 1554 3 919
62 162.16563626734504 5.0497821447560307 552.2059962773468 34 145 233 0.41185737233103126 4 1766 3 948
63 165.49220960290805 29.888692238490208 540.03588131322851 233 202 167 0.64326306195897809 4 1779 3 968
64 157.41330069723304 26.556575106116085 456.33364358071356 31 132 226 0.30759528722639878 4 1899 3 973
70 143.40529546527782 108.42473149763887 534.11785554728044 42 110 165 0.89387262516253929 4 1646 3 1010
72 130.73513730173985 124.04938203171807 508.2557814597053 29 99 174 1.116904620714104 4 1811 3 1019
73 -581.08926366745686 -151.14549375865639 1768.7511923112954 62 68 66 2.6744883802674329 4 1716 3 1044
74 13.648763346660859 -87.867251953431349 715.56400198517861 36 37 34 1.4955034085723988 4 1710 3 1054
75 22.526884985976203 -61.574085020137268 722.3028675057185 41 41 40 0.38825122760139963 4 1728 3 1072
76 147.57948768520811 -27.815115713550146 450.92313462337154 27 158 244 0.1503111109789784 4 1872 3 1087
77 147.57948768520811 -27.815115713550146 450.92313462337154 27 158 244 0.1503111109789784 4 1871 3 1088
78 156.26471752680834 11.712285021890567 533.83763977046908 241 201 158 0.25606414550881285 4 1768 3 1103
79 8.4600735832590956 74.068997305898662 791.19621267467426 128 111 88 0.39157074076937132 4 1614 3 1111
80 147.70475112459238 57.288481690449458 450.04092591936768 193 151 132 0.49776595530857481 4 1909 3 1125
81 41.547957954199767 158.11242700635458 814.27601572479546 127 108 101 1.4287001212410484 4 2051 3 1126
82 31.028585819578804 -78.768746253706922 740.60198259862466 80 84 81 0.16441919129323057 4 1949 3 1172
83 158.49700428110168 9.3916835095393729 549.29145989327037 244 205 169 0.90005868916558107 4 1977 3 1195
84 85.120396368748573 127.73559017950936 803.22470790201578 224 235 233 0.17848546189669526 4 1990 3 1210
85 149.10579971452745 181.10957711882185 778.22521825064041 185 188 186 0.91413594232255346 4 1923 3 1222
86 42.811330430126432 -63.823405173810343 747.29968141135157 78 80 78 0.53721815471671319 4 1954 3 1244
87 163.06739297645413 1.2918114888086496 557.81970823138408 244 214 181 1.2685227217889916 4 2039 3 1263
88 157.74118240276474 12.033244373543219 540.18869983183185 227 169 124 0.36793957903994334 4 2041 3 1265
89 61.852840823936681 186.90521120629077 808.39169943559364 167 173 178 0.23487879390887814 4 2058 3 1284
90 84.175729255198078 141.29760528090821 804.69636501140496 173 175 179 0.060518682389368181 4 2096 3 1313
91 149.69263263587348 -19.08929633225474 452.42213615543488 246 220 192 0.17790442002057288 4 2114 3 1328
92 157.15077727881223 -3.711982199486481 463.90698947907498 224 176 153 0.64341010556558298 4 2147 3 1355
93 11.011999311886299 69.813445432562077 867.25944167317687 223 232 230 1.1058676136906742 4 2117 3 1372
94 139.30464401619113 -2.1143084225870927 452.20761390272475 211 184 179 0.4115639981113236 4 2182 3 1383
95 161.43638450222318 13.410477876138096 466.20185674856009 248 221 191 0.35570967473304266 4 2174 3 1384
