# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 30, mean track length: 2
3 3.1446785583071293 -2.5625502983088793 424.06087576472851 148 107 88 3.5304757516415641 2 1991 1 643
8 -25.822354312680449 -11.428422743595862 442.23717129208489 125 96 85 3.3877869197176529 2 2455 1 924
17 45.347645416956283 -62.127218874679784 413.53851859985997 35 35 35 3.1156770552662807 2 2412 1 1126
18 28.190537909513388 -56.921094871961479 408.71539720629727 12 12 12 2.8925632336425453 2 2421 1 1130
19 -27.341693011982638 -9.2270985126597864 442.16643927377908 141 120 115 3.2710049018414482 2 2615 1 1175
22 40.153731380436426 -0.081068063324894926 299.84886001908188 10 132 224 3.3496937415264254 2 2764 1 1395
23 -26.713620278544759 18.16692221706943 437.33702196537831 166 117 88 3.5011693131914265 2 2869 1 1409
24 -26.238556314215401 44.66764296453259 441.23539089096715 175 134 108 3.7083697723178575 2 2782 1 1432
29 0.065914363504951348 -26.083032868812797 415.37767375816605 163 122 109 1.657244891160337 2 2913 1 1523
34 108.64685548462909 -17.984638003622003 221.88718390343416 13 145 238 0.20643592365457411 2 2750 1 1623
36 46.716295733801275 14.612260143183931 297.61496332655571 216 163 117 3.8675104182266358 2 2930 1 1638
41 -8.4844646977277183 1.8873201340905155 427.44769790954467 175 121 100 3.6060314199103152 2 2961 1 1707
47 -168.82077871760842 -413.57200048644563 886.64494901002206 178 182 168 0.28972589573368901 4 9 3 9
48 159.72809932968536 26.337096935862629 369.6971397449804 208 188 183 0.38660709925396153 4 828 3 1707
49 157.82019465114925 -69.777433352985895 842.88477302867591 22 19 15 0.58138857898353802 4 988 3 1895
50 278.36891959769861 108.56814897142087 1370.0399783591311 43 50 48 2.1374090813025202 4 838 3 1982
51 316.29851801481459 127.1669873872806 1398.3325236784988 40 47 47 2.4625972260530151 4 849 3 1992
52 210.77574160861886 -23.576240098053084 505.23556658330801 144 111 99 3.3670152075585853 4 228 3 2148
53 124.66945897458895 40.633186613163652 359.74945289118978 231 192 160 0.05578653609759944 4 1208 3 2188
54 195.75445720963825 15.984304626439771 467.81916983411338 27 103 178 0.7094134481651948 4 1191 3 2314
55 150.29967738149301 105.1085203591804 507.52478195782277 52 104 171 1.7113733280346297 4 1230 3 2361
56 150.29967738149301 105.1085203591804 507.52478195782277 52 104 171 1.7113733280346297 4 1231 3 2362
57 185.53881800430722 -63.646693604686412 378.64776152305808 25 120 212 3.3361539031989991 4 1295 3 2417
58 158.18141111525156 -34.08838696873066 346.98863819046147 22 135 232 2.2610576465948933 4 1399 3 2428
59 206.26900599840437 -16.893968864871304 479.60352119953143 18 110 198 1.5938946748803526 4 1174 3 2444
60 194.44393320304678 -4.974603987969263 467.14132666816806 200 144 107 1.3796864024633977 4 1414 3 2543
61 115.27005513087661 7.1835527660681322 345.9581864411262 237 207 182 0.081342276426791177 4 1491 3 2553
62 120.17732244897883 43.688478679114489 358.86836424377503 203 148 123 0.68151217972176181 4 1504 3 2565
63 200.08191434960318 -11.914451252973267 477.45679040651459 220 183 150 1.5030814208958194 4 1485 3 2602
64 124.88831806223803 34.064109462240744 357.11014658847637 233 194 158 0.0673816652557373 4 1583 3 2650
